"","family","repli","dam","sire","tray","cell","length","egg_size"
"174","f18","r2","d2","s7","t9","2C",23.1,7.97
"175","f18","r1","d2","s7","t6","2C",24.1,7.97
"176","f18","r2","d2","s7","t9","2C",22.6,7.97
"177","f18","r1","d2","s7","t6","2C",24.2,7.97
"178","f18","r2","d2","s7","t9","2C",22.8,7.97
"179","f18","r1","d2","s7","t6","2C",23.9,7.97
"180","f18","r2","d2","s7","t9","2C",23.4,7.97
"181","f19","r1","d2","s8","t6","2D",23.1,7.97
"182","f19","r2","d2","s8","t9","2D",22.2,7.97
"183","f19","r1","d2","s8","t6","2D",23.4,7.97
"184","f19","r2","d2","s8","t9","2D",24.2,7.97
"185","f19","r1","d2","s8","t6","2D",22.7,7.97
"186","f19","r2","d2","s8","t9","2D",23.6,7.97
"187","f19","r1","d2","s8","t6","2D",22.9,7.97
"188","f19","r2","d2","s8","t9","2D",22.8,7.97
"189","f19","r1","d2","s8","t6","2D",23.2,7.97
"190","f19","r2","d2","s8","t9","2D",23.1,7.97
"191","f20","r1","d2","s9","t6","3A",23.3,7.97
"192","f20","r2","d2","s9","t9","3A",22.2,7.97
"193","f20","r1","d2","s9","t6","3A",23.8,7.97
"194","f20","r2","d2","s9","t9","3A",23,7.97
"195","f20","r1","d2","s9","t6","3A",23.5,7.97
"196","f20","r2","d2","s9","t9","3A",22.8,7.97
"197","f20","r1","d2","s9","t6","3A",23.9,7.97
"198","f20","r2","d2","s9","t9","3A",23.4,7.97
"199","f20","r1","d2","s9","t6","3A",23.4,7.97
"200","f20","r2","d2","s9","t9","3A",22.6,7.97
"201","f21","r1","d2","s10","t6","3B",25.6,7.97
"202","f21","r2","d2","s10","t9","3B",21.6,7.97
"203","f21","r1","d2","s10","t6","3B",23.1,7.97
"204","f21","r2","d2","s10","t9","3B",21.4,7.97
"205","f21","r1","d2","s10","t6","3B",21.7,7.97
"206","f21","r2","d2","s10","t9","3B",21,7.97
"207","f21","r1","d2","s10","t6","3B",23.5,7.97
"208","f21","r2","d2","s10","t9","3B",22.2,7.97
"209","f21","r1","d2","s10","t6","3B",24.4,7.97
"210","f21","r2","d2","s10","t9","3B",21.8,7.97
"211","f22","r1","d2","s11","t6","3C",24,7.97
"212","f22","r2","d2","s11","t9","3C",21.6,7.97
"213","f22","r1","d2","s11","t6","3C",24.8,7.97
"214","f22","r2","d2","s11","t9","3C",21.8,7.97
"215","f22","r1","d2","s11","t6","3C",23.6,7.97
"216","f22","r2","d2","s11","t9","3C",20.9,7.97
"217","f22","r1","d2","s11","t6","3C",23.4,7.97
"218","f22","r2","d2","s11","t9","3C",20.7,7.97
"219","f22","r1","d2","s11","t6","3C",23.9,7.97
"220","f22","r2","d2","s11","t9","3C",22.1,7.97
"221","f23","r1","d3","s1","t7","3D",23.2,7.24
"222","f23","r2","d3","s1","t8","3D",23.2,7.24
"223","f23","r1","d3","s1","t7","3D",21.5,7.24
"224","f23","r2","d3","s1","t8","3D",22.4,7.24
"225","f23","r1","d3","s1","t7","3D",22.9,7.24
"226","f23","r2","d3","s1","t8","3D",21.8,7.24
"227","f23","r1","d3","s1","t7","3D",22.8,7.24
"228","f23","r2","d3","s1","t8","3D",24.2,7.24
"229","f23","r1","d3","s1","t7","3D",23.1,7.24
"230","f23","r2","d3","s1","t8","3D",24.8,7.24
"231","f24","r1","d3","s2","t7","4A",23.8,7.24
"232","f24","r2","d3","s2","t8","4A",21.8,7.24
"233","f24","r1","d3","s2","t7","4A",22.4,7.24
"234","f24","r2","d3","s2","t8","4A",21.6,7.24
"235","f24","r1","d3","s2","t7","4A",23.3,7.24
"236","f24","r2","d3","s2","t8","4A",21.4,7.24
"237","f24","r1","d3","s2","t7","4A",23.4,7.24
"238","f24","r2","d3","s2","t8","4A",21.2,7.24
"239","f24","r1","d3","s2","t7","4A",23.7,7.24
"240","f24","r2","d3","s2","t8","4A",21.8,7.24
"241","f25","r1","d3","s3","t7","4B",22.7,7.24
"242","f25","r2","d3","s3","t8","4B",21.6,7.24
"243","f25","r1","d3","s3","t7","4B",22.6,7.24
"244","f25","r2","d3","s3","t8","4B",20.8,7.24
"245","f25","r1","d3","s3","t7","4B",21.7,7.24
"246","f25","r2","d3","s3","t8","4B",21.8,7.24
"247","f25","r1","d3","s3","t7","4B",21.9,7.24
"248","f25","r2","d3","s3","t8","4B",20.1,7.24
"249","f25","r1","d3","s3","t7","4B",22.8,7.24
"250","f25","r2","d3","s3","t8","4B",20.9,7.24
"251","f26","r1","d3","s4","t7","4C",21.9,7.24
"252","f26","r2","d3","s4","t8","4C",21.6,7.24
"253","f26","r1","d3","s4","t7","4C",21.8,7.24
"254","f26","r2","d3","s4","t8","4C",21.9,7.24
"255","f26","r1","d3","s4","t7","4C",23,7.24
"256","f26","r2","d3","s4","t8","4C",20.6,7.24
"257","f26","r1","d3","s4","t7","4C",22,7.24
"258","f26","r2","d3","s4","t8","4C",23.1,7.24
"259","f26","r1","d3","s4","t7","4C",21.6,7.24
"260","f26","r2","d3","s4","t8","4C",20.6,7.24
"261","f27","r1","d3","s5","t7","4D",24.7,7.24
"262","f27","r2","d3","s5","t8","4D",21.8,7.24
"263","f27","r1","d3","s5","t7","4D",24,7.24
"264","f27","r2","d3","s5","t8","4D",21.6,7.24
"265","f27","r1","d3","s5","t7","4D",23.1,7.24
"266","f27","r2","d3","s5","t8","4D",20.9,7.24
"267","f27","r1","d3","s5","t7","4D",24.2,7.24
"268","f27","r2","d3","s5","t8","4D",21.8,7.24
"269","f27","r1","d3","s5","t7","4D",23.5,7.24
"270","f27","r2","d3","s5","t8","4D",22.4,7.24
"271","f28","r1","d3","s6","t6","3D",22,7.24
"272","f28","r2","d3","s6","t9","3D",20.8,7.24
"273","f28","r1","d3","s6","t6","3D",21.8,7.24
"274","f28","r2","d3","s6","t9","3D",21.2,7.24
"275","f28","r1","d3","s6","t6","3D",22.2,7.24
"276","f28","r2","d3","s6","t9","3D",20.4,7.24
"277","f28","r1","d3","s6","t6","3D",22.4,7.24
"278","f28","r2","d3","s6","t9","3D",20.6,7.24
"279","f28","r1","d3","s6","t6","3D",21.5,7.24
"280","f28","r2","d3","s6","t9","3D",20.4,7.24
"281","f29","r1","d3","s7","t6","4A",24.2,7.24
"282","f29","r2","d3","s7","t9","4A",21.5,7.24
"283","f29","r1","d3","s7","t6","4A",23,7.24
"284","f29","r2","d3","s7","t9","4A",22.2,7.24
"285","f29","r1","d3","s7","t6","4A",22.4,7.24
"286","f29","r2","d3","s7","t9","4A",20.9,7.24
"287","f29","r1","d3","s7","t6","4A",22.8,7.24
"288","f29","r2","d3","s7","t9","4A",21.6,7.24
"289","f29","r1","d3","s7","t6","4A",22.9,7.24
"290","f29","r2","d3","s7","t9","4A",22.4,7.24
"291","f30","r1","d3","s8","t6","4B",23.9,7.24
"292","f30","r2","d3","s8","t9","4B",20.4,7.24
"293","f30","r1","d3","s8","t6","4B",23.1,7.24
"294","f30","r2","d3","s8","t9","4B",19.9,7.24
"295","f30","r1","d3","s8","t6","4B",21.5,7.24
"296","f30","r2","d3","s8","t9","4B",19.6,7.24
"297","f30","r1","d3","s8","t6","4B",22.8,7.24
"298","f30","r2","d3","s8","t9","4B",20.8,7.24
"299","f30","r1","d3","s8","t6","4B",23.6,7.24
"300","f30","r2","d3","s8","t9","4B",21,7.24
"301","f31","r1","d3","s9","t6","4C",22.5,7.24
"302","f31","r2","d3","s9","t9","4C",21,7.24
"303","f31","r1","d3","s9","t6","4C",22.3,7.24
"304","f31","r2","d3","s9","t9","4C",22.6,7.24
"305","f31","r1","d3","s9","t6","4C",20.8,7.24
"306","f31","r2","d3","s9","t9","4C",22,7.24
"307","f31","r1","d3","s9","t6","4C",22.1,7.24
"308","f31","r2","d3","s9","t9","4C",22.2,7.24
"309","f31","r1","d3","s9","t6","4C",21.9,7.24
"310","f31","r2","d3","s9","t9","4C",21.8,7.24
"311","f32","r1","d3","s10","t6","4D",22.6,7.24
"312","f32","r2","d3","s10","t9","4D",21,7.24
"313","f32","r1","d3","s10","t6","4D",22.4,7.24
"314","f32","r2","d3","s10","t9","4D",21.1,7.24
"315","f32","r1","d3","s10","t6","4D",22.7,7.24
"316","f32","r2","d3","s10","t9","4D",21.4,7.24
"317","f32","r1","d3","s10","t6","4D",22.5,7.24
"318","f32","r2","d3","s10","t9","4D",21,7.24
"319","f32","r1","d3","s10","t6","4D",22.8,7.24
"320","f32","r2","d3","s10","t9","4D",22,7.24
"321","f33","r1","d3","s11","t5","1A",24.1,7.24
"322","f33","r2","d3","s11","t10","1A",21.5,7.24
"323","f33","r1","d3","s11","t5","1A",22.3,7.24
"324","f33","r2","d3","s11","t10","1A",21.2,7.24
"325","f33","r1","d3","s11","t5","1A",21.9,7.24
"326","f33","r2","d3","s11","t10","1A",21.4,7.24
"327","f33","r1","d3","s11","t5","1A",23.2,7.24
"328","f33","r2","d3","s11","t10","1A",20.8,7.24
"329","f33","r1","d3","s11","t5","1A",23.9,7.24
"330","f33","r2","d3","s11","t10","1A",22.4,7.24
"331","f34","r1","d4","s1","t5","1B",22.5,7.53
"332","f34","r2","d4","s1","t10","1B",20.8,7.53
"333","f34","r1","d4","s1","t5","1B",23.3,7.53
"334","f34","r2","d4","s1","t10","1B",22.2,7.53
"335","f34","r1","d4","s1","t5","1B",22.7,7.53
"336","f34","r2","d4","s1","t10","1B",22,7.53
"337","f34","r1","d4","s1","t5","1B",22.9,7.53
"338","f34","r2","d4","s1","t10","1B",22.4,7.53
"339","f34","r1","d4","s1","t5","1B",23.1,7.53
"340","f34","r2","d4","s1","t10","1B",21,7.53
"341","f35","r1","d4","s2","t5","1C",22.1,7.53
"342","f35","r2","d4","s2","t10","1C",19.9,7.53
"343","f35","r1","d4","s2","t5","1C",21.8,7.53
"344","f35","r2","d4","s2","t10","1C",20.4,7.53
"345","f35","r1","d4","s2","t5","1C",22.4,7.53
"346","f35","r2","d4","s2","t10","1C",21.4,7.53
"347","f35","r1","d4","s2","t5","1C",21.7,7.53
"348","f35","r2","d4","s2","t10","1C",22.1,7.53
"349","f35","r1","d4","s2","t5","1C",22.4,7.53
"350","f35","r2","d4","s2","t10","1C",21.8,7.53
"351","f36","r1","d4","s3","t5","1D",21.6,7.53
"352","f36","r2","d4","s3","t10","1D",21.9,7.53
"353","f36","r1","d4","s3","t5","1D",22.8,7.53
"354","f36","r2","d4","s3","t10","1D",23.3,7.53
"355","f36","r1","d4","s3","t5","1D",22.9,7.53
"356","f36","r2","d4","s3","t10","1D",22.6,7.53
"357","f36","r1","d4","s3","t5","1D",22.4,7.53
"358","f36","r2","d4","s3","t10","1D",22.4,7.53
"359","f36","r1","d4","s3","t5","1D",22.4,7.53
"360","f36","r2","d4","s3","t10","1D",21.6,7.53
"361","f37","r1","d4","s4","t5","2A",21.1,7.53
"362","f37","r2","d4","s4","t10","2A",21.4,7.53
"363","f37","r1","d4","s4","t5","2A",19.8,7.53
"364","f37","r2","d4","s4","t10","2A",21.6,7.53
"365","f37","r1","d4","s4","t5","2A",20.1,7.53
"366","f37","r2","d4","s4","t10","2A",22.4,7.53
"367","f37","r1","d4","s4","t5","2A",19.7,7.53
"368","f37","r2","d4","s4","t10","2A",22.8,7.53
"369","f37","r1","d4","s4","t5","2A",20.4,7.53
"370","f37","r2","d4","s4","t10","2A",21.9,7.53
"371","f38","r1","d4","s5","t5","2B",22.3,7.53
"372","f38","r2","d4","s5","t10","2B",22.8,7.53
"373","f38","r1","d4","s5","t5","2B",21.9,7.53
"374","f38","r2","d4","s5","t10","2B",22,7.53
"375","f38","r1","d4","s5","t5","2B",22.2,7.53
"376","f38","r2","d4","s5","t10","2B",22.6,7.53
"377","f38","r1","d4","s5","t5","2B",22,7.53
"378","f38","r2","d4","s5","t10","2B",22.4,7.53
"379","f38","r1","d4","s5","t5","2B",22.4,7.53
"380","f38","r2","d4","s5","t10","2B",22.2,7.53
"381","f39","r1","d4","s6","t5","2C",20.8,7.53
"382","f39","r2","d4","s6","t10","2C",20.3,7.53
"383","f39","r1","d4","s6","t5","2C",22.5,7.53
"384","f39","r2","d4","s6","t10","2C",21.1,7.53
"385","f39","r1","d4","s6","t5","2C",22.7,7.53
"386","f39","r2","d4","s6","t10","2C",21.4,7.53
"387","f39","r1","d4","s6","t5","2C",21.9,7.53
"388","f39","r2","d4","s6","t10","2C",20.8,7.53
"389","f39","r1","d4","s6","t5","2C",23,7.53
"390","f39","r2","d4","s6","t10","2C",20.4,7.53
"391","f40","r1","d4","s7","t5","2D",21.9,7.53
"392","f40","r2","d4","s7","t10","2D",21.9,7.53
"393","f40","r1","d4","s7","t5","2D",22.2,7.53
"394","f40","r2","d4","s7","t10","2D",22.3,7.53
"395","f40","r1","d4","s7","t5","2D",22.4,7.53
"396","f40","r2","d4","s7","t10","2D",22.6,7.53
"397","f40","r1","d4","s7","t5","2D",22.9,7.53
"398","f40","r2","d4","s7","t10","2D",22.4,7.53
"399","f40","r1","d4","s7","t5","2D",21.8,7.53
"400","f40","r2","d4","s7","t10","2D",21.6,7.53
"401","f41","r1","d4","s8","t5","3A",21.8,7.53
"402","f41","r2","d4","s8","t10","3A",22,7.53
"403","f41","r1","d4","s8","t5","3A",20.9,7.53
"404","f41","r2","d4","s8","t10","3A",22.4,7.53
"405","f41","r1","d4","s8","t5","3A",22,7.53
"406","f41","r2","d4","s8","t10","3A",21.9,7.53
"407","f41","r1","d4","s8","t5","3A",21.9,7.53
"408","f41","r2","d4","s8","t10","3A",21.8,7.53
"409","f41","r1","d4","s8","t5","3A",22.2,7.53
"410","f41","r2","d4","s8","t10","3A",21.6,7.53
"411","f42","r1","d4","s9","t5","3B",21,7.53
"412","f42","r2","d4","s9","t10","3B",21.5,7.53
"413","f42","r1","d4","s9","t5","3B",21.4,7.53
"414","f42","r2","d4","s9","t10","3B",21.5,7.53
"415","f42","r1","d4","s9","t5","3B",20.8,7.53
"416","f42","r2","d4","s9","t10","3B",21.8,7.53
"417","f42","r1","d4","s9","t5","3B",20.9,7.53
"418","f42","r2","d4","s9","t10","3B",22.6,7.53
"419","f42","r1","d4","s9","t5","3B",21.4,7.53
"420","f42","r2","d4","s9","t10","3B",22.4,7.53
"421","f43","r1","d4","s10","t5","3C",21.1,7.53
"422","f43","r2","d4","s10","t10","3C",20.1,7.53
"423","f43","r1","d4","s10","t5","3C",22,7.53
"424","f43","r2","d4","s10","t10","3C",20.5,7.53
"425","f43","r1","d4","s10","t5","3C",20.5,7.53
"426","f43","r2","d4","s10","t10","3C",20.7,7.53
"427","f43","r1","d4","s10","t5","3C",22.1,7.53
"428","f43","r2","d4","s10","t10","3C",20,7.53
"429","f43","r1","d4","s10","t5","3C",21.9,7.53
"430","f43","r2","d4","s10","t10","3C",21.1,7.53
"431","f44","r1","d4","s11","t5","3D",21.2,7.53
"432","f44","r2","d4","s11","t10","3D",22.2,7.53
"433","f44","r1","d4","s11","t5","3D",20,7.53
"434","f44","r2","d4","s11","t10","3D",21.4,7.53
"435","f44","r1","d4","s11","t5","3D",21.9,7.53
"436","f44","r2","d4","s11","t10","3D",21.3,7.53
"437","f44","r1","d4","s11","t5","3D",20.9,7.53
"438","f44","r2","d4","s11","t10","3D",21,7.53
"439","f44","r1","d4","s11","t5","3D",21.4,7.53
"440","f44","r2","d4","s11","t10","3D",21.2,7.53
"441","f45","r1","d5","s1","t5","4A",22,7.89
"442","f45","r2","d5","s1","t10","4A",22.6,7.89
"443","f45","r1","d5","s1","t5","4A",23.4,7.89
"444","f45","r2","d5","s1","t10","4A",22.8,7.89
"445","f45","r1","d5","s1","t5","4A",23.3,7.89
"446","f45","r2","d5","s1","t10","4A",22.4,7.89
"447","f45","r1","d5","s1","t5","4A",22.8,7.89
"448","f45","r2","d5","s1","t10","4A",22.9,7.89
"449","f45","r1","d5","s1","t5","4A",23.1,7.89
"450","f45","r2","d5","s1","t10","4A",22.6,7.89
"451","f46","r1","d5","s2","t5","4B",24.8,7.89
"452","f46","r2","d5","s2","t10","4B",22.7,7.89
"453","f46","r1","d5","s2","t5","4B",23,7.89
"454","f46","r2","d5","s2","t10","4B",22.3,7.89
"455","f46","r1","d5","s2","t5","4B",23,7.89
"456","f46","r2","d5","s2","t10","4B",22.1,7.89
"457","f46","r1","d5","s2","t5","4B",23.1,7.89
"458","f46","r2","d5","s2","t10","4B",21.8,7.89
"459","f46","r1","d5","s2","t5","4B",23.8,7.89
"460","f46","r2","d5","s2","t10","4B",22.9,7.89
"461","f47","r1","d5","s3","t5","4C",24,7.89
"462","f47","r2","d5","s3","t10","4C",23.8,7.89
"463","f47","r1","d5","s3","t5","4C",23.8,7.89
"464","f47","r2","d5","s3","t10","4C",23,7.89
"465","f47","r1","d5","s3","t5","4C",22.6,7.89
"466","f47","r2","d5","s3","t10","4C",22.6,7.89
"467","f47","r1","d5","s3","t5","4C",23.1,7.89
"468","f47","r2","d5","s3","t10","4C",22.9,7.89
"469","f47","r1","d5","s3","t5","4C",24.2,7.89
"470","f47","r2","d5","s3","t10","4C",23.6,7.89
"471","f48","r1","d5","s4","t5","4D",24.8,7.89
"472","f48","r2","d5","s4","t10","4D",21.9,7.89
"473","f48","r1","d5","s4","t5","4D",23.9,7.89
"474","f48","r2","d5","s4","t10","4D",22.4,7.89
"475","f48","r1","d5","s4","t5","4D",22.6,7.89
"476","f48","r2","d5","s4","t10","4D",22.3,7.89
"477","f48","r1","d5","s4","t5","4D",23.1,7.89
"478","f48","r2","d5","s4","t10","4D",22,7.89
"479","f48","r1","d5","s4","t5","4D",24.2,7.89
"480","f48","r2","d5","s4","t10","4D",21.8,7.89
"481","f49","r1","d5","s5","t4","1A",22.5,7.89
"482","f49","r2","d5","s5","t14","1A",22.8,7.89
"483","f49","r1","d5","s5","t4","1A",21.9,7.89
"484","f49","r2","d5","s5","t14","1A",22.6,7.89
